facility,location,cases,deaths,address,lon,lat
Father Baker Manor nursing home,"Orchard Park, N.Y.",65,65,"Father Baker Manor nursing home, Orchard Park, N.Y.",-78.7439189,42.76755929999999
Ozanam Hall skilled nursing,"New York, N.Y.",63,63,"Ozanam Hall skilled nursing, New York, N.Y.",-74.0059728,40.7127753
Christian Health Care Center,"Wyckoff, N.J.",237,62,"Christian Health Care Center, Wyckoff, N.J.",-74.1729106,41.0095316
Menorah Center for Rehabilitation and Nursing Care,"Brooklyn, N.Y.",62,62,"Menorah Center for Rehabilitation and Nursing Care, Brooklyn, N.Y.",-73.9441579,40.6781784
Charlotte Hall Veterans Home,"Charlotte Hall, Md.",300,61,"Charlotte Hall Veterans Home, Charlotte Hall, Md.",-76.778021999999993,38.4809565
The Phoenix Rehabilitation and Nursing Center,"Brooklyn, N.Y.",61,61,"The Phoenix Rehabilitation and Nursing Center, Brooklyn, N.Y.",-73.9441579,40.6781784
The Riverside Premier Rehabilitation and Healing Center,"New York, N.Y.",61,61,"The Riverside Premier Rehabilitation and Healing Center, New York, N.Y.",-74.0059728,40.7127753
Riverside Health and Rehabilitation Center,"East Hartford, Conn.",158,60,"Riverside Health and Rehabilitation Center, East Hartford, Conn.",-72.6128339,41.7634219
New Franklin Center for Rehabilitation and Nursing,"New York, N.Y.",60,60,"New Franklin Center for Rehabilitation and Nursing, New York, N.Y.",-74.0059728,40.7127753
Carmel Richmond Healthcare and Rehabilitation Center,"New York, N.Y.",60,60,"Carmel Richmond Healthcare and Rehabilitation Center, New York, N.Y.",-74.0059728,40.7127753
Kings Harbor Multicare Center nursing home,"Bronx, N.Y.",59,59,"Kings Harbor Multicare Center nursing home, Bronx, N.Y.",-73.8648268,40.8447819
Holliswood Center for Rehabilitation and Nursing,"New York, N.Y.",58,58,"Holliswood Center for Rehabilitation and Nursing, New York, N.Y.",-74.0059728,40.7127753
Amsterdam Nursing Home,"New York, N.Y.",58,58,"Amsterdam Nursing Home, New York, N.Y.",-74.0059728,40.7127753
The New Jewish Home nursing home,"New York, N.Y.",58,58,"The New Jewish Home nursing home, New York, N.Y.",-74.0059728,40.7127753
Cobble Hill Health Center nursing home,"Brooklyn, N.Y.",56,56,"Cobble Hill Health Center nursing home, Brooklyn, N.Y.",-73.9441579,40.6781784
Citadel Rehabilitation and Nursing Center at Kingsbridge,"Bronx, N.Y.",56,56,"Citadel Rehabilitation and Nursing Center at Kingsbridge, Bronx, N.Y.",-73.8648268,40.8447819
Sapphire Center for Rehabilitation and Nursing,"New York, N.Y.",55,55,"Sapphire Center for Rehabilitation and Nursing, New York, N.Y.",-74.0059728,40.7127753
Arden House nursing home,"Hamden, Conn.",178,54,"Arden House nursing home, Hamden, Conn.",-72.9026064,41.3838782
Parkhouse Nursing and Rehabilitation Center,"Royersford, Pa.",151,52,"Parkhouse Nursing and Rehabilitation Center, Royersford, Pa.",-75.5379639,40.1842688
Union Plaza Care rehabilitation center,"Flushing, N.Y.",52,52,"Union Plaza Care rehabilitation center, Flushing, N.Y.",-73.833079,40.7674987
Allied Services Skilled Nursing Center,"Scranton, Pa.",231,51,"Allied Services Skilled Nursing Center, Scranton, Pa.",-75.66241219999999,41.408969
Gurwin Jewish Nursing and Rehabilitation Center,"Commack, N.Y.",50,50,"Gurwin Jewish Nursing and Rehabilitation Center, Commack, N.Y.",-73.29289430000001,40.8428759
"The New Jewish Home, Sarah Neuman","Mamaroneck, N.Y.",50,50,"The New Jewish Home, Sarah Neuman, Mamaroneck, N.Y.",-73.7326309,40.94870969999999
Bartley Healthcare Nursing and Rehabilitation,"Jackson, N.J.",196,49,"Bartley Healthcare Nursing and Rehabilitation, Jackson, N.J.",-74.35874729999999,40.0918895
Neshaminy Manor Long Term Care Facility,"Warrington, Pa.",225,48,"Neshaminy Manor Long Term Care Facility, Warrington, Pa.",-75.1340604,40.2492741
ManorCare Health Services nursing home,"Sinking Spring, Pa.",190,48,"ManorCare Health Services nursing home, Sinking Spring, Pa.",-76.01104889999999,40.3273146
Shady Knoll Health Center,"Seymour, Conn.",84,48,"Shady Knoll Health Center, Seymour, Conn.",-73.07475339999999,41.397146
Niles Nursing and Rehabilitation Center,"Niles, Ill.",206,47,"Niles Nursing and Rehabilitation Center, Niles, Ill.",-87.80284019999999,42.0189191
V.A. New Jersey Health Care System,"Lyons, N.J.",171,47,"V.A. New Jersey Health Care System, Lyons, N.J.",-74.54710089999999,40.6853792
Cranford Rehab & Nursing Center,"Cranford, N.J.",168,47,"Cranford Rehab & Nursing Center, Cranford, N.J.",-74.2995928,40.6584212
Villa at Windsor Park nursing home,"Chicago, Ill.",165,47,"Villa at Windsor Park nursing home, Chicago, Ill.",-87.6297982,41.8781136
Fair Havens Center nursing home,"Miami Springs, Fla.",176,46,"Fair Havens Center nursing home, Miami Springs, Fla.",-80.289495,25.8223198
Oakland Rehabilitation and Healthcare Center,"Oakland, N.J.",176,46,"Oakland Rehabilitation and Healthcare Center, Oakland, N.J.",-74.26431430000001,41.0131529
Abbott Terrace Health Center,"Waterbury, Conn.",115,46,"Abbott Terrace Health Center, Waterbury, Conn.",-73.0514965,41.5581525
Orchard View Manor nursing home,"East Providence, R.I.",135,45,"Orchard View Manor nursing home, East Providence, R.I.",-71.3700545,41.8137116
CareOne at Madison Avenue nursing home,"Morristown, N.J.",104,45,"CareOne at Madison Avenue nursing home, Morristown, N.J.",-74.4815438,40.79676670000001
Kimberly Hall North nursing facility,"Windsor, Conn.",94,45,"Kimberly Hall North nursing facility, Windsor, Conn.",-72.64370219999999,41.8525984
Daughters of Miriam nursing home,"Clifton, N.J.",179,44,"Daughters of Miriam nursing home, Clifton, N.J.",-74.16375529999999,40.8584328
Norridge Gardens nursing home,"Norridge, Ill.",166,44,"Norridge Gardens nursing home, Norridge, Ill.",-87.82728399999999,41.9633641
Spring Creek Rehabilitation & Health Care Center,"Harrisburg, Pa.",257,42,"Spring Creek Rehabilitation & Health Care Center, Harrisburg, Pa.",-76.8867008,40.2731911
Clinton Nursing and Rehabilitation Center,"Clinton, Md.",211,42,"Clinton Nursing and Rehabilitation Center, Clinton, Md.",-76.8983059,38.7651145
St. Joseph's Center senior living facility,"Trumbull, Conn.",135,42,"St. Joseph's Center senior living facility, Trumbull, Conn.",-73.2006639,41.2428563
Litchfield Woods Health Care Center,"Torrington, Conn.",126,42,"Litchfield Woods Health Care Center, Torrington, Conn.",-73.1211715,41.8003049
The Harborage nursing home,"North Bergen, N.J.",193,41,"The Harborage nursing home, North Bergen, N.J.",-74.012084,40.8042674
Collingswood Rehabilitation and Healthcare Center,"Rockville, Md.",175,41,"Collingswood Rehabilitation and Healthcare Center, Rockville, Md.",-77.1527578,39.0839973
Voorhees Center nursing home,"Voorhees, N.J.",170,41,"Voorhees Center nursing home, Voorhees, N.J.",-74.961517,39.8519447
New Vista Nursing and Rehabillitation Center,"Newark, N.J.",73,41,"New Vista Nursing and Rehabillitation Center, Newark, N.J.",-74.1723667,40.735657
Hammonton Center for Rehabilitation and Nursing,"Hammonton, N.J.",253,40,"Hammonton Center for Rehabilitation and Nursing, Hammonton, N.J.",-74.8023853,39.6365056
Meadowbrook Rehabilitation,"Bolingbrook, Ill.",188,40,"Meadowbrook Rehabilitation, Bolingbrook, Ill.",-88.0683955,41.69864159999999
Hamilton Continuing Care Center nursing home,"Hamilton, N.J.",152,40,"Hamilton Continuing Care Center nursing home, Hamilton, N.J.",-74.6796651,40.2115109
West Shore Health Center nursing home,"Warwick, R.I.",105,40,"West Shore Health Center nursing home, Warwick, R.I.",-71.4161671,41.7001009
Atrium Post Acute Care senior center,"Wayne, N.J.",140,39,"Atrium Post Acute Care senior center, Wayne, N.J.",-74.2765441,40.92537249999999
Signature HealthCARE Center of Waterford nursing home,"Hialeah Gardens, Fla.",121,39,"Signature HealthCARE Center of Waterford nursing home, Hialeah Gardens, Fla.",-80.3244957,25.8650961
St. Patrick's Manor retirement community,"Framingham, Mass.",113,39,"St. Patrick's Manor retirement community, Framingham, Mass.",-71.4161565,42.279286
Deptford Center for Rehabilitation and Healthcare,"Deptford, N.J.",254,38,"Deptford Center for Rehabilitation and Healthcare, Deptford, N.J.",-75.11951069999999,39.8227054
Woodbridge Nursing Pavilion,"Chicago, Ill.",228,38,"Woodbridge Nursing Pavilion, Chicago, Ill.",-87.6297982,41.8781136
Hudsonview Center for Rehabilitation and Healthcare,"North Bergen, N.J.",200,38,"Hudsonview Center for Rehabilitation and Healthcare, North Bergen, N.J.",-74.012084,40.8042674
Saunders House skilled nursing,"Wynnewood, Pa.",150,38,"Saunders House skilled nursing, Wynnewood, Pa.",-75.273018,39.9995913
Rivergate Terrace skilled nursing and rehabilitation,"Riverview, Mich.",108,38,"Rivergate Terrace skilled nursing and rehabilitation, Riverview, Mich.",-83.1793697,42.1742073
Forest Manor Nursing and Rehabilitation Center,"Covington, La.",90,38,"Forest Manor Nursing and Rehabilitation Center, Covington, La.",-90.1009108,30.4754702
Maefair Health Care Center nursing home,"Trumbull, Conn.",88,38,"Maefair Health Care Center nursing home, Trumbull, Conn.",-73.2006639,41.2428563
Regency House Nursing and Rehabilitation Center,"Wallingford, Conn.",85,38,"Regency House Nursing and Rehabilitation Center, Wallingford, Conn.",-72.8230736,41.4570108
Advantage Living Center - Warren nursing home,"Warren, Mich.",65,38,"Advantage Living Center - Warren nursing home, Warren, Mich.",-83.01465259999999,42.5144566
Hillsborough County nursing home,"Goffstown, N.H.",208,37,"Hillsborough County nursing home, Goffstown, N.H.",-71.6002223,43.0204052
Sagepoint Senior Living Services,"La Plata, Md.",123,37,"Sagepoint Senior Living Services, La Plata, Md.",-76.97525139999999,38.5292877
Foothill Acres Rehabilitation and Nursing Center,"Hillsborough, N.J.",104,37,"Foothill Acres Rehabilitation and Nursing Center, Hillsborough, N.J.",-74.6472522,40.5106322
Saint Mary Home nursing home,"West Hartford, Conn.",90,37,"Saint Mary Home nursing home, West Hartford, Conn.",-72.7420151,41.7620842
The Carolton Chronic and Convalescent Hospital,"Fairfield, Conn.",88,37,"The Carolton Chronic and Convalescent Hospital, Fairfield, Conn.",-73.2612615,41.1408363
Ludlowe Center for Health and Rehabilitation,"Fairfield, Conn.",66,37,"Ludlowe Center for Health and Rehabilitation, Fairfield, Conn.",-73.2612615,41.1408363
CareOne at Morris nursing home,"Parsippany, N.J.",163,36,"CareOne at Morris nursing home, Parsippany, N.J.",-74.41738769999999,40.8652865
Mountain Vista Senior Living Community,"Wheat Ridge, Colo.",161,36,"Mountain Vista Senior Living Community, Wheat Ridge, Colo.",-105.0772063,39.766098
St. John Neuman Center for Rehabiliation and Healthcare,"Philadelphia, Pa.",151,36,"St. John Neuman Center for Rehabiliation and Healthcare, Philadelphia, Pa.",-75.1652215,39.9525839
Riverbend Post Acute Rehabilitation,"Kansas City, Kan.",132,36,"Riverbend Post Acute Rehabilitation, Kansas City, Kan.",-94.62678729999999,39.11553139999999
St. Joseph's Senior Home assisted living and nursing center,"Woodbridge, N.J.",115,36,"St. Joseph's Senior Home assisted living and nursing center, Woodbridge, N.J.",-74.2846022,40.5575986
Saint John Paul II Center nursing home,"Danbury, Conn.",101,36,"Saint John Paul II Center nursing home, Danbury, Conn.",-73.4540111,41.394817
Green Meadows Nursing & Rehabilitation Center,"Malvern, Pa.",75,36,"Green Meadows Nursing & Rehabilitation Center, Malvern, Pa.",-75.5138118,40.0362184
Beaumont Rehabilitation and Skilled Nursing,"Northbridge, Mass.",63,36,"Beaumont Rehabilitation and Skilled Nursing, Northbridge, Mass.",-71.6494407,42.1516323
Peterson Park Health Care Center,"Chicago, Ill.",220,35,"Peterson Park Health Care Center, Chicago, Ill.",-87.6297982,41.8781136
Glenview Terrace Rehabilitation Center,"Glenview, Ill.",193,35,"Glenview Terrace Rehabilitation Center, Glenview, Ill.",-87.8223368,42.0778065
Highland Place Rehab and Nursing Center,"Shreveport, La.",181,35,"Highland Place Rehab and Nursing Center, Shreveport, La.",-93.7501789,32.5251516
Autumn Woods Residential Health,"Warren, Mich.",163,35,"Autumn Woods Residential Health, Warren, Mich.",-83.01465259999999,42.5144566
The Village at Augsburg retirement community,"Baltimore, Md.",126,35,"The Village at Augsburg retirement community, Baltimore, Md.",-76.6121893,39.2903848
Marcella Center rehabilitation facility,"Burlington Township, N.J.",118,35,"Marcella Center rehabilitation facility, Burlington Township, N.J.",-74.84588219999999,40.0561471
J. Michael Morrow Memorial Nursing Home,"Arnaudville, La.",111,35,"J. Michael Morrow Memorial Nursing Home, Arnaudville, La.",-91.9315062,30.39769729999999
Golden Crest Nursing Center,"North Providence, R.I.",95,35,"Golden Crest Nursing Center, North Providence, R.I.",-71.46766389999999,41.8535518
Cambridge Health and Rehabilitation Center,"Fairfield, Conn.",59,35,"Cambridge Health and Rehabilitation Center, Fairfield, Conn.",-73.2612615,41.1408363
St. Joseph's Skilled Nursing Center,"Lawrenceville, N.J.",191,34,"St. Joseph's Skilled Nursing Center, Lawrenceville, N.J.",-74.7361013,40.3016375
Chapel Manor nursing home,"Philadelphia, Pa.",188,34,"Chapel Manor nursing home, Philadelphia, Pa.",-75.1652215,39.9525839
Westbury Medical Care and Rehabilitation,"Jackson, Ga.",169,34,"Westbury Medical Care and Rehabilitation, Jackson, Ga.",-83.96602089999999,33.2945651
Symphony at 87th Street nursing home,"Chicago, Ill.",169,34,"Symphony at 87th Street nursing home, Chicago, Ill.",-87.6297982,41.8781136
Cherry Creek Nursing Center,"Aurora, Colo.",159,34,"Cherry Creek Nursing Center, Aurora, Colo.",-104.8319195,39.7294319
Dycora Transitional Health and Living nursing home,"Fresno, Calif.",154,34,"Dycora Transitional Health and Living nursing home, Fresno, Calif.",-119.7871247,36.7377981
Old Orchard Health Care Center,"Easton, Pa.",150,34,"Old Orchard Health Care Center, Easton, Pa.",-75.2207323,40.688432
Atrium Post Acute Care of Park Ridge,"Park Ridge, N.J.",142,34,"Atrium Post Acute Care of Park Ridge, Park Ridge, N.J.",-74.0406956,41.0375968
Healthcare at Foster Creek assisted living facility,"Portland, Ore.",120,34,"Healthcare at Foster Creek assisted living facility, Portland, Ore.",-122.6750261,45.5051064
Lakeland Health Care Center nursing home,"Haskell, N.J.",114,34,"Lakeland Health Care Center nursing home, Haskell, N.J.",-74.29625519999999,41.0302008
Chelsea Place Care Center rehabilitation facility,"Hartford, Conn.",88,34,"Chelsea Place Care Center rehabilitation facility, Hartford, Conn.",-72.6733723,41.7658043
Hackensack Meridian Health Nursing and Rehab,"Hackensack, N.J.",198,33,"Hackensack Meridian Health Nursing and Rehab, Hackensack, N.J.",-74.0434736,40.8859325
Elevate Care Chicago North rehabilitation center,"Chicago, Ill.",185,33,"Elevate Care Chicago North rehabilitation center, Chicago, Ill.",-87.6297982,41.8781136
Alaris Health at Hamilton Park nursing home,"Jersey City, N.J.",168,33,"Alaris Health at Hamilton Park nursing home, Jersey City, N.J.",-74.0431435,40.7177545
ManorCare Health Services nursing home,"Hinsdale, Ill.",168,33,"ManorCare Health Services nursing home, Hinsdale, Ill.",-87.9370052,41.8008642
Fairmont Care rehabilitation center,"Chicago, Ill.",153,33,"Fairmont Care rehabilitation center, Chicago, Ill.",-87.6297982,41.8781136
Page Rehabilitation and Healthcare Center,"Fort Myers, Fla.",130,33,"Page Rehabilitation and Healthcare Center, Fort Myers, Fla.",-81.8723084,26.640628
Southeast Louisiana Veterans Home,"Reserve, La.",120,33,"Southeast Louisiana Veterans Home, Reserve, La.",-90.5517534,30.0538131
CareOne at Wellington nursing home,"Hackensack, N.J.",119,33,"CareOne at Wellington nursing home, Hackensack, N.J.",-74.0434736,40.8859325
Grand Park Convalescent Hospital,"Los Angeles, Calif.",100,33,"Grand Park Convalescent Hospital, Los Angeles, Calif.",-118.2436849,34.0522342
Atria assisted living facility,"Cranford, N.J.",97,33,"Atria assisted living facility, Cranford, N.J.",-74.2995928,40.6584212
Maple View Health and Rehabilitation Center,"Rocky Hill, Conn.",73,33,"Maple View Health and Rehabilitation Center, Rocky Hill, Conn.",-72.66557569999999,41.6572525
Avantara rehabilitation center,"Long Grove, Ill.",221,32,"Avantara rehabilitation center, Long Grove, Ill.",-87.99785179999999,42.1783584
AristaCare at Delaire rehabilitation center,"Linden, N.J.",175,32,"AristaCare at Delaire rehabilitation center, Linden, N.J.",-74.24459019999999,40.6220478
Potomac Valley Rehabilitation and Healthcare Center,"Rockville, Md.",144,32,"Potomac Valley Rehabilitation and Healthcare Center, Rockville, Md.",-77.1527578,39.0839973
Mountain View Care and Rehab Center,"Scranton, Pa.",144,32,"Mountain View Care and Rehab Center, Scranton, Pa.",-75.66241219999999,41.408969
Regency Heights nursing home,"Detroit, Mich.",129,32,"Regency Heights nursing home, Detroit, Mich.",-83.0457538,42.331427
Generations at Regency nursing home,"Niles, Ill.",129,32,"Generations at Regency nursing home, Niles, Ill.",-87.80284019999999,42.0189191
Santa Anita Convalescent Hospital,"Temple City, Calif.",90,32,"Santa Anita Convalescent Hospital, Temple City, Calif.",-118.0578456,34.1072305
Beaumont Rehabilitation and Skilled Nursing,"Northborough, Mass.",62,32,"Beaumont Rehabilitation and Skilled Nursing, Northborough, Mass.",-71.6411997,42.3195556
Elmwood Hills Health Center,"Blackwood, N.J.",209,31,"Elmwood Hills Health Center, Blackwood, N.J.",-75.0640602,39.8023363
Llanfair House Care and Rehabilitation Center,"Wayne, N.J.",136,31,"Llanfair House Care and Rehabilitation Center, Wayne, N.J.",-74.2765441,40.92537249999999
White Oak nursing home,"Burlington, N.C.",134,31,"White Oak nursing home, Burlington, N.C.",-79.43779909999999,36.0956918
Brandywine Hall nursing home,"West Chester, Pa.",125,31,"Brandywine Hall nursing home, West Chester, Pa.",-75.6054882,39.9606643
Willow Springs Rehabilitation and Healthcare Center,"Brick Township, N.J.",124,31,"Willow Springs Rehabilitation and Healthcare Center, Brick Township, N.J.",-74.1371832,40.0578384
CareOne nursing home,"Holmdel, N.J.",120,31,"CareOne nursing home, Holmdel, N.J.",-74.18403219999999,40.3451095
Shippensburg Health Care Center,"Shippensburg, Pa.",119,31,"Shippensburg Health Care Center, Shippensburg, Pa.",-77.5202647,40.0506453
Lord Chamberlain nursing home facilities,"Stratford, Conn.",98,31,"Lord Chamberlain nursing home facilities, Stratford, Conn.",-73.1331651,41.18454149999999
"Regency Grande Post-Acute, Rehab & Nursing Center","Dover, N.J.",86,31,"Regency Grande Post-Acute, Rehab & Nursing Center, Dover, N.J.",-74.5621025,40.883988
Sheriden Woods Health Care Center nursing home,"Bristol, Conn.",80,31,"Sheriden Woods Health Care Center nursing home, Bristol, Conn.",-72.9492703,41.67176480000001
Hewitt Health and Rehabilitation Center,"Shelton, Conn.",78,31,"Hewitt Health and Rehabilitation Center, Shelton, Conn.",-73.0931641,41.3164856
Beaumont Rehabilitation and Skilled Nursing,"Westborough, Mass.",60,31,"Beaumont Rehabilitation and Skilled Nursing, Westborough, Mass.",-71.61612939999999,42.2695216
Glastonbury Health Care Center,"Glastonbury, Conn.",51,31,"Glastonbury Health Care Center, Glastonbury, Conn.",-72.5450779,41.6861794
Preakness Healthcare Center nursing home,"Wayne, N.J.",231,30,"Preakness Healthcare Center nursing home, Wayne, N.J.",-74.2765441,40.92537249999999
Symphony of Lincoln Park nursing home,"Chicago, Ill.",181,30,"Symphony of Lincoln Park nursing home, Chicago, Ill.",-87.6297982,41.8781136
Berkshire Place Nursing and Rehabilitation Center,"Providence, R.I.",165,30,"Berkshire Place Nursing and Rehabilitation Center, Providence, R.I.",-71.4128343,41.8239891
Tower Hill Healthcare Center nursing home,"South Elgin, Ill.",164,30,"Tower Hill Healthcare Center nursing home, South Elgin, Ill.",-88.29229959999999,41.9941938
Morris View Healthcare Center nursing home,"Morristown, N.J.",159,30,"Morris View Healthcare Center nursing home, Morristown, N.J.",-74.4815438,40.79676670000001
Greenwood House assisted living facility,"Ewing, N.J.",158,30,"Greenwood House assisted living facility, Ewing, N.J.",-74.79091249999999,40.2599864
Maple Woods Manor skilled nursing facility,"Clio, Mich.",153,30,"Maple Woods Manor skilled nursing facility, Clio, Mich.",-83.73412739999999,43.1775256
The Gardens for Memory Care at Easton,"Easton, Pa.",131,30,"The Gardens for Memory Care at Easton, Easton, Pa.",-75.2207323,40.688432
Bria nursing home,"Geneva, Ill.",130,30,"Bria nursing home, Geneva, Ill.",-88.3287896,41.8926437
Bride Brook Health and Rehabilitation Center,"Niantic, Conn.",101,30,"Bride Brook Health and Rehabilitation Center, Niantic, Conn.",-72.1931338,41.3253756
Center Home for Hispanic Elderly,"Chicago, Ill.",91,30,"Center Home for Hispanic Elderly, Chicago, Ill.",-87.6297982,41.8781136
Milford Health and Rehabilitation Center,"Milford, Conn.",85,30,"Milford Health and Rehabilitation Center, Milford, Conn.",-73.064036,41.2306979
Redwood Springs Healthcare Center,"Visalia, Calif.",195,29,"Redwood Springs Healthcare Center, Visalia, Calif.",-119.2920585,36.3302284
Water's Edge Healthcare and Rehabilitation Center,"Trenton, N.J.",182,29,"Water's Edge Healthcare and Rehabilitation Center, Trenton, N.J.",-74.759717,40.2205824
Powder Springs Transitional Care and Rehab,"Powder Springs, Ga.",151,29,"Powder Springs Transitional Care and Rehab, Powder Springs, Ga.",-84.683824,33.8595491
Runnells Center for Rehabilitation and Healthcare,"Berkeley Heights, N.J.",150,29,"Runnells Center for Rehabilitation and Healthcare, Berkeley Heights, N.J.",-74.4310524,40.6808726
St. Joseph's Healthcare & Rehab Center,"Cedar Grove, N.J.",144,29,"St. Joseph's Healthcare & Rehab Center, Cedar Grove, N.J.",-74.2290319,40.8517876
Harmony Healthcare and Rehab,"Chicago, Ill.",139,29,"Harmony Healthcare and Rehab, Chicago, Ill.",-87.6297982,41.8781136
Pleasant View Nursing Home,"Mt. Airy, Md.",132,29,"Pleasant View Nursing Home, Mt. Airy, Md.",-77.154704,39.3762145
Advanced Subacute Rehabilitation Center,"Sewell, N.J.",129,29,"Advanced Subacute Rehabilitation Center, Sewell, N.J.",-75.1441926,39.7662167
Beaumont Rehabilitation and Continuing Care,"Dearborn, Mich.",105,29,"Beaumont Rehabilitation and Continuing Care, Dearborn, Mich.",-83.17631449999999,42.3222599
Four Fountains nursing home,"Belleville, Ill.",104,29,"Four Fountains nursing home, Belleville, Ill.",-89.9839935,38.5200504
Luther Acres Manor nursing home,"Lititz, Pa.",103,29,"Luther Acres Manor nursing home, Lititz, Pa.",-76.3069014,40.1573169
Complete Care at Shorrock Gardens nursing home,"Brick Township, N.J.",98,29,"Complete Care at Shorrock Gardens nursing home, Brick Township, N.J.",-74.1371832,40.0578384
Caring Heights Community Care & Rehab Center,"Coraopolis, Pa.",64,29,"Caring Heights Community Care & Rehab Center, Coraopolis, Pa.",-80.1667247,40.5184013
Mary Wade nursing home,"New Haven, Conn.",61,29,"Mary Wade nursing home, New Haven, Conn.",-72.9278835,41.308274
Riverview Health and Rehab Center North,"Detroit, Mich.",58,29,"Riverview Health and Rehab Center North, Detroit, Mich.",-83.0457538,42.331427
CareOne at Ridgewood Avenue nursing home,"Paramus, N.J.",196,28,"CareOne at Ridgewood Avenue nursing home, Paramus, N.J.",-74.0754189,40.9445428
Transitional Care Center Capitol City rehabilitation facility,"Washington, D.C.",189,28,"Transitional Care Center Capitol City rehabilitation facility, Washington, D.C.",-77.0368707,38.9071923
Alameda Center for Rehabilitation and Healthcare,"Perth Amboy, N.J.",159,28,"Alameda Center for Rehabilitation and Healthcare, Perth Amboy, N.J.",-74.2654234,40.5067723
ManorCare Health Services Oxford Valley nursing home,"Yardley, Pa.",152,28,"ManorCare Health Services Oxford Valley nursing home, Yardley, Pa.",-74.8459972,40.245664
The Heights of Summerlin skilled nursing,"Las Vegas, Nev.",147,28,"The Heights of Summerlin skilled nursing, Las Vegas, Nev.",-115.1398296,36.1699412
Kei-Ai Los Angeles Healthcare Center,"Los Angeles, Calif.",146,28,"Kei-Ai Los Angeles Healthcare Center, Los Angeles, Calif.",-118.2436849,34.0522342
Gateway Care Center nursing home,"Eatontown, N.J.",144,28,"Gateway Care Center nursing home, Eatontown, N.J.",-74.0509725,40.2962222
Christian City Skilled Nursing and Rehabilitation,"Union City, Ga.",143,28,"Christian City Skilled Nursing and Rehabilitation, Union City, Ga.",-84.5424299,33.5870558
CareOne rehabilitation facility,"Wall, N.J.",137,28,"CareOne rehabilitation facility, Wall, N.J.",-74.0679753,40.1606666
Meadowview Nursing and Rehabilitation Center,"Northfield, N.J.",135,28,"Meadowview Nursing and Rehabilitation Center, Northfield, N.J.",-74.5501546,39.3703942
The Mosaic of Lakeshore rehabilitation facility,"Chicago, Ill.",133,28,"The Mosaic of Lakeshore rehabilitation facility, Chicago, Ill.",-87.6297982,41.8781136
AristaCare at Cedar Oaks rehabilitation facility,"South Plainfield, N.J.",130,28,"AristaCare at Cedar Oaks rehabilitation facility, South Plainfield, N.J.",-74.4115401,40.5792701
West Hills Health and Rehab Center,"Canoga Park, Calif.",120,28,"West Hills Health and Rehab Center, Canoga Park, Calif.",-118.6058609,34.208254
Country Villa Sheraton Nursing and Rehabilitation Center,"North Hills, Calif.",114,28,"Country Villa Sheraton Nursing and Rehabilitation Center, North Hills, Calif.",-118.4849365,34.235822
Wynhoven Health Care Center,"Marrero, La.",108,28,"Wynhoven Health Care Center, Marrero, La.",-90.1003506,29.8993723
Fresh River Healthcare nursing home,"East Windsor, Conn.",99,28,"Fresh River Healthcare nursing home, East Windsor, Conn.",-72.5578799,41.9161361
Lakeside Health & Wellness Suites nursing home,"Reno, Nev.",93,28,"Lakeside Health & Wellness Suites nursing home, Reno, Nev.",-119.8138027,39.5296329
Alaris Health nursing home,"Kearny, N.J.",91,28,"Alaris Health nursing home, Kearny, N.J.",-74.1454214,40.7684342
