facility,location,cases,deaths,address,lon,lat
Menorah Center for Rehabilitation and Nursing Care,"Brooklyn, N.Y.",62,62,"Menorah Center for Rehabilitation and Nursing Care, Brooklyn, N.Y.",-73.9441579,40.6781784
Ozanam Hall skilled nursing,"New York, N.Y.",62,62,"Ozanam Hall skilled nursing, New York, N.Y.",-74.0059728,40.7127753
Christian Health Care Center,"Wyckoff, N.J.",232,61,"Christian Health Care Center, Wyckoff, N.J.",-74.1729106,41.0095316
The Phoenix Rehabilitation and Nursing Center,"Brooklyn, N.Y.",61,61,"The Phoenix Rehabilitation and Nursing Center, Brooklyn, N.Y.",-73.9441579,40.6781784
The Riverside Premier Rehabilitation and Healing Center,"New York, N.Y.",61,61,"The Riverside Premier Rehabilitation and Healing Center, New York, N.Y.",-74.0059728,40.7127753
Fair Acres Geriatric Center,"Lima, Pa.",257,60,"Fair Acres Geriatric Center, Lima, Pa.",-75.4404746,39.9173332
New Franklin Center for Rehabilitation and Nursing,"New York, N.Y.",60,60,"New Franklin Center for Rehabilitation and Nursing, New York, N.Y.",-74.0059728,40.7127753
Riverside Health and Rehabilitation Center,"East Hartford, Conn.",152,59,"Riverside Health and Rehabilitation Center, East Hartford, Conn.",-72.6128339,41.7634219
Kings Harbor Multicare Center nursing home,"Bronx, N.Y.",59,59,"Kings Harbor Multicare Center nursing home, Bronx, N.Y.",-73.8648268,40.8447819
Carmel Richmond Healthcare and Rehabilitation Center,"New York, N.Y.",58,58,"Carmel Richmond Healthcare and Rehabilitation Center, New York, N.Y.",-74.0059728,40.7127753
Holliswood Center for Rehabilitation and Nursing,"New York, N.Y.",58,58,"Holliswood Center for Rehabilitation and Nursing, New York, N.Y.",-74.0059728,40.7127753
Amsterdam Nursing Home,"New York, N.Y.",58,58,"Amsterdam Nursing Home, New York, N.Y.",-74.0059728,40.7127753
The New Jewish Home nursing home,"New York, N.Y.",58,58,"The New Jewish Home nursing home, New York, N.Y.",-74.0059728,40.7127753
Charlotte Hall Veterans Home,"Charlotte Hall, Md.",296,57,"Charlotte Hall Veterans Home, Charlotte Hall, Md.",-76.778021999999993,38.4809565
Cobble Hill Health Center nursing home,"Brooklyn, N.Y.",56,56,"Cobble Hill Health Center nursing home, Brooklyn, N.Y.",-73.9441579,40.6781784
Sapphire Center for Rehabilitation and Nursing,"New York, N.Y.",55,55,"Sapphire Center for Rehabilitation and Nursing, New York, N.Y.",-74.0059728,40.7127753
Citadel Rehabilitation and Nursing Center at Kingsbridge,"Bronx, N.Y.",55,55,"Citadel Rehabilitation and Nursing Center at Kingsbridge, Bronx, N.Y.",-73.8648268,40.8447819
Broomall Rehabilitation and Nursing Center,"Broomall, Pa.",207,53,"Broomall Rehabilitation and Nursing Center, Broomall, Pa.",-75.347048,39.967933
Union Plaza Care rehabilitation center,"Flushing, N.Y.",52,52,"Union Plaza Care rehabilitation center, Flushing, N.Y.",-73.833079,40.7674987
Parkhouse Nursing and Rehabilitation Center,"Royersford, Pa.",149,51,"Parkhouse Nursing and Rehabilitation Center, Royersford, Pa.",-75.5379639,40.1842688
ManorCare Health Services nursing home,"Sinking Spring, Pa.",191,50,"ManorCare Health Services nursing home, Sinking Spring, Pa.",-76.01104889999999,40.3273146
Gurwin Jewish Nursing and Rehabilitation Center,"Commack, N.Y.",50,50,"Gurwin Jewish Nursing and Rehabilitation Center, Commack, N.Y.",-73.29289430000001,40.8428759
"The New Jewish Home, Sarah Neuman","Mamaroneck, N.Y.",50,50,"The New Jewish Home, Sarah Neuman, Mamaroneck, N.Y.",-73.7326309,40.94870969999999
Arden House nursing home,"Hamden, Conn.",177,49,"Arden House nursing home, Hamden, Conn.",-72.9026064,41.3838782
Allied Services Skilled Nursing Center,"Scranton, Pa.",206,48,"Allied Services Skilled Nursing Center, Scranton, Pa.",-75.66241219999999,41.408969
V.A. New Jersey Health Care System,"Lyons, N.J.",171,47,"V.A. New Jersey Health Care System, Lyons, N.J.",-74.54710089999999,40.6853792
Cranford Rehab & Nursing Center,"Cranford, N.J.",168,47,"Cranford Rehab & Nursing Center, Cranford, N.J.",-74.2995928,40.6584212
Oakland Rehabilitation and Healthcare Center,"Oakland, N.J.",175,46,"Oakland Rehabilitation and Healthcare Center, Oakland, N.J.",-74.26431430000001,41.0131529
Kimberly Hall North nursing facility,"Windsor, Conn.",93,46,"Kimberly Hall North nursing facility, Windsor, Conn.",-72.64370219999999,41.8525984
Niles Nursing and Rehabilitation Center,"Niles, Ill.",188,45,"Niles Nursing and Rehabilitation Center, Niles, Ill.",-87.80284019999999,42.0189191
Villa at Windsor Park nursing home,"Chicago, Ill.",163,45,"Villa at Windsor Park nursing home, Chicago, Ill.",-87.6297982,41.8781136
Orchard View Manor nursing home,"East Providence, R.I.",135,45,"Orchard View Manor nursing home, East Providence, R.I.",-71.3700545,41.8137116
Life Care Center nursing home,"Kirkland, Wash.",129,45,"Life Care Center nursing home, Kirkland, Wash.",-122.2059833,47.6768927
Abbott Terrace Health Center,"Waterbury, Conn.",114,45,"Abbott Terrace Health Center, Waterbury, Conn.",-73.0514965,41.5581525
CareOne at Madison Avenue nursing home,"Morristown, N.J.",104,45,"CareOne at Madison Avenue nursing home, Morristown, N.J.",-74.4815438,40.79676670000001
Bartley Healthcare Nursing and Rehabilitation,"Jackson, N.J.",192,44,"Bartley Healthcare Nursing and Rehabilitation, Jackson, N.J.",-74.35874729999999,40.0918895
Fair Havens Center nursing home,"Miami Springs, Fla.",176,44,"Fair Havens Center nursing home, Miami Springs, Fla.",-80.289495,25.8223198
Shady Knoll Health Center,"Seymour, Conn.",83,43,"Shady Knoll Health Center, Seymour, Conn.",-73.07475339999999,41.397146
Ambassador Nursing and Rehabilitation Center,"Detroit, Mich.",50,43,"Ambassador Nursing and Rehabilitation Center, Detroit, Mich.",-83.0457538,42.331427
Clinton Nursing and Rehabilitation Center,"Clinton, Md.",211,42,"Clinton Nursing and Rehabilitation Center, Clinton, Md.",-76.8983059,38.7651145
Neshaminy Manor Long Term Care Facility,"Warrington, Pa.",216,41,"Neshaminy Manor Long Term Care Facility, Warrington, Pa.",-75.1340604,40.2492741
Collingswood Rehabilitation and Healthcare Center,"Rockville, Md.",169,41,"Collingswood Rehabilitation and Healthcare Center, Rockville, Md.",-77.1527578,39.0839973
Daughters of Miriam nursing home,"Clifton, N.J.",168,41,"Daughters of Miriam nursing home, Clifton, N.J.",-74.16375529999999,40.8584328
Litchfield Woods Health Care Center,"Torrington, Conn.",126,41,"Litchfield Woods Health Care Center, Torrington, Conn.",-73.1211715,41.8003049
New Vista Nursing and Rehabillitation Center,"Newark, N.J.",67,41,"New Vista Nursing and Rehabillitation Center, Newark, N.J.",-74.1723667,40.735657
Spring Creek Rehabilitation & Health Care Center,"Harrisburg, Pa.",235,40,"Spring Creek Rehabilitation & Health Care Center, Harrisburg, Pa.",-76.8867008,40.2731911
Meadowbrook Rehabilitation,"Bolingbrook, Ill.",188,40,"Meadowbrook Rehabilitation, Bolingbrook, Ill.",-88.0683955,41.69864159999999
Voorhees Center nursing home,"Voorhees, N.J.",166,40,"Voorhees Center nursing home, Voorhees, N.J.",-74.961517,39.8519447
Hamilton Continuing Care Center nursing home,"Hamilton, N.J.",150,40,"Hamilton Continuing Care Center nursing home, Hamilton, N.J.",-74.6796651,40.2115109
West Shore Health Center nursing home,"Warwick, R.I.",105,40,"West Shore Health Center nursing home, Warwick, R.I.",-71.4161671,41.7001009
Norridge Gardens nursing home,"Norridge, Ill.",77,40,"Norridge Gardens nursing home, Norridge, Ill.",-87.82728399999999,41.9633641
Hammonton Center for Rehabilitation and Nursing,"Hammonton, N.J.",245,39,"Hammonton Center for Rehabilitation and Nursing, Hammonton, N.J.",-74.8023853,39.6365056
ManorCare Health Services nursing home,"Wallingford, Pa.",186,39,"ManorCare Health Services nursing home, Wallingford, Pa.",-75.36307959999999,39.8932884
St. Joseph's Center senior living facility,"Trumbull, Conn.",128,39,"St. Joseph's Center senior living facility, Trumbull, Conn.",-73.2006639,41.2428563
Regency House Nursing and Rehabilitation Center,"Wallingford, Conn.",84,39,"Regency House Nursing and Rehabilitation Center, Wallingford, Conn.",-72.8230736,41.4570108
Hudsonview Center for Rehabilitation and Healthcare,"North Bergen, N.J.",187,38,"Hudsonview Center for Rehabilitation and Healthcare, North Bergen, N.J.",-74.012084,40.8042674
Atrium Post Acute Care senior center,"Wayne, N.J.",140,38,"Atrium Post Acute Care senior center, Wayne, N.J.",-74.2765441,40.92537249999999
Forest Manor Nursing and Rehabilitation Center,"Covington, La.",86,38,"Forest Manor Nursing and Rehabilitation Center, Covington, La.",-90.1009108,30.4754702
Advantage Living Center - Warren nursing home,"Warren, Mich.",65,38,"Advantage Living Center - Warren nursing home, Warren, Mich.",-83.01465259999999,42.5144566
Cedarbrook Senior Care and Rehabilitation,"Allentown, Pa.",247,37,"Cedarbrook Senior Care and Rehabilitation, Allentown, Pa.",-75.4714098,40.6022939
Woodbridge Nursing Pavilion,"Chicago, Ill.",224,37,"Woodbridge Nursing Pavilion, Chicago, Ill.",-87.6297982,41.8781136
The Harborage nursing home,"North Bergen, N.J.",190,37,"The Harborage nursing home, North Bergen, N.J.",-74.012084,40.8042674
Saunders House skilled nursing,"Wynnewood, Pa.",140,37,"Saunders House skilled nursing, Wynnewood, Pa.",-75.273018,39.9995913
Sagepoint Senior Living Services,"La Plata, Md.",123,37,"Sagepoint Senior Living Services, La Plata, Md.",-76.97525139999999,38.5292877
Maefair Health Care Center nursing home,"Trumbull, Conn.",86,37,"Maefair Health Care Center nursing home, Trumbull, Conn.",-73.2006639,41.2428563
The Carolton Chronic and Convalescent Hospital,"Fairfield, Conn.",84,37,"The Carolton Chronic and Convalescent Hospital, Fairfield, Conn.",-73.2612615,41.1408363
CareOne at Morris nursing home,"Parsippany, N.J.",163,36,"CareOne at Morris nursing home, Parsippany, N.J.",-74.41738769999999,40.8652865
Berks Heim Nursing & Rehabilitation,"Leesport, Pa.",136,36,"Berks Heim Nursing & Rehabilitation, Leesport, Pa.",-75.9663221,40.4470377
Riverbend Post Acute Rehabilitation,"Kansas City, Kan.",132,36,"Riverbend Post Acute Rehabilitation, Kansas City, Kan.",-94.62678729999999,39.11553139999999
St. Joseph's Senior Home assisted living and nursing center,"Woodbridge, N.J.",115,36,"St. Joseph's Senior Home assisted living and nursing center, Woodbridge, N.J.",-74.2846022,40.5575986
Saint John Paul II Center nursing home,"Danbury, Conn.",98,36,"Saint John Paul II Center nursing home, Danbury, Conn.",-73.4540111,41.394817
Immaculate Mary Center for Rehabilitation and Healthcare,"Philadelphia, Pa.",94,36,"Immaculate Mary Center for Rehabilitation and Healthcare, Philadelphia, Pa.",-75.1652215,39.9525839
Green Meadows Nursing & Rehabilitation Center,"Malvern, Pa.",73,36,"Green Meadows Nursing & Rehabilitation Center, Malvern, Pa.",-75.5138118,40.0362184
Ludlowe Center for Health and Rehabilitation,"Fairfield, Conn.",65,36,"Ludlowe Center for Health and Rehabilitation, Fairfield, Conn.",-73.2612615,41.1408363
Peterson Park Health Care Center,"Chicago, Ill.",220,35,"Peterson Park Health Care Center, Chicago, Ill.",-87.6297982,41.8781136
Autumn Woods Residential Health,"Warren, Mich.",160,35,"Autumn Woods Residential Health, Warren, Mich.",-83.01465259999999,42.5144566
The Village at Augsburg retirement community,"Baltimore, Md.",122,35,"The Village at Augsburg retirement community, Baltimore, Md.",-76.6121893,39.2903848
Foothill Acres Rehabilitation and Nursing Center,"Hillsborough, N.J.",103,35,"Foothill Acres Rehabilitation and Nursing Center, Hillsborough, N.J.",-74.6472522,40.5106322
Golden Crest Nursing Center,"North Providence, R.I.",95,35,"Golden Crest Nursing Center, North Providence, R.I.",-71.46766389999999,41.8535518
Beaumont Rehabilitation and Skilled Nursing,"Northbridge, Mass.",63,35,"Beaumont Rehabilitation and Skilled Nursing, Northbridge, Mass.",-71.6494407,42.1516323
Cambridge Health and Rehabilitation Center,"Fairfield, Conn.",59,35,"Cambridge Health and Rehabilitation Center, Fairfield, Conn.",-73.2612615,41.1408363
Chapel Manor nursing home,"Philadelphia, Pa.",184,34,"Chapel Manor nursing home, Philadelphia, Pa.",-75.1652215,39.9525839
Glenview Terrace Rehabilitation Center,"Glenview, Ill.",180,34,"Glenview Terrace Rehabilitation Center, Glenview, Ill.",-87.8223368,42.0778065
Westbury Medical Care and Rehabilitation,"Jackson, Ga.",161,34,"Westbury Medical Care and Rehabilitation, Jackson, Ga.",-83.96602089999999,33.2945651
Dycora Transitional Health and Living nursing home,"Fresno, Calif.",147,34,"Dycora Transitional Health and Living nursing home, Fresno, Calif.",-119.7871247,36.7377981
Healthcare at Foster Creek assisted living facility,"Portland, Ore.",120,34,"Healthcare at Foster Creek assisted living facility, Portland, Ore.",-122.6750261,45.5051064
J. Michael Morrow Memorial Nursing Home,"Arnaudville, La.",108,34,"J. Michael Morrow Memorial Nursing Home, Arnaudville, La.",-91.9315062,30.39769729999999
Deptford Center for Rehabilitation and Healthcare,"Deptford, N.J.",237,33,"Deptford Center for Rehabilitation and Healthcare, Deptford, N.J.",-75.11951069999999,39.8227054
Hackensack Meridian Health Nursing and Rehab,"Hackensack, N.J.",196,33,"Hackensack Meridian Health Nursing and Rehab, Hackensack, N.J.",-74.0434736,40.8859325
Alaris Health at Hamilton Park nursing home,"Jersey City, N.J.",164,33,"Alaris Health at Hamilton Park nursing home, Jersey City, N.J.",-74.0431435,40.7177545
Cherry Creek Nursing Center,"Aurora, Colo.",149,33,"Cherry Creek Nursing Center, Aurora, Colo.",-104.8319195,39.7294319
Mountain Vista Senior Living Community,"Wheat Ridge, Colo.",149,33,"Mountain Vista Senior Living Community, Wheat Ridge, Colo.",-105.0772063,39.766098
Atrium Post Acute Care of Park Ridge,"Park Ridge, N.J.",142,33,"Atrium Post Acute Care of Park Ridge, Park Ridge, N.J.",-74.0406956,41.0375968
Signature HealthCARE Center of Waterford nursing home,"Hialeah Gardens, Fla.",115,33,"Signature HealthCARE Center of Waterford nursing home, Hialeah Gardens, Fla.",-80.3244957,25.8650961
St. Patrick's Manor retirement community,"Framingham, Mass.",113,33,"St. Patrick's Manor retirement community, Framingham, Mass.",-71.4161565,42.279286
Marcella Center rehabilitation facility,"Burlington Township, N.J.",112,33,"Marcella Center rehabilitation facility, Burlington Township, N.J.",-74.84588219999999,40.0561471
Rosewood Gardens Rehabilitation and Nursing Center,"Broomall, Pa.",90,33,"Rosewood Gardens Rehabilitation and Nursing Center, Broomall, Pa.",-75.347048,39.967933
St. Joseph's Skilled Nursing Center,"Lawrenceville, N.J.",186,32,"St. Joseph's Skilled Nursing Center, Lawrenceville, N.J.",-74.7361013,40.3016375
Elevate Care Chicago North rehabilitation center,"Chicago, Ill.",183,32,"Elevate Care Chicago North rehabilitation center, Chicago, Ill.",-87.6297982,41.8781136
AristaCare at Delaire rehabilitation center,"Linden, N.J.",175,32,"AristaCare at Delaire rehabilitation center, Linden, N.J.",-74.24459019999999,40.6220478
Old Orchard Health Care Center,"Easton, Pa.",146,32,"Old Orchard Health Care Center, Easton, Pa.",-75.2207323,40.688432
Potomac Valley Rehabilitation and Healthcare Center,"Rockville, Md.",144,32,"Potomac Valley Rehabilitation and Healthcare Center, Rockville, Md.",-77.1527578,39.0839973
Regency Heights nursing home,"Detroit, Mich.",129,32,"Regency Heights nursing home, Detroit, Mich.",-83.0457538,42.331427
Lakeland Health Care Center nursing home,"Haskell, N.J.",114,32,"Lakeland Health Care Center nursing home, Haskell, N.J.",-74.29625519999999,41.0302008
Saint Mary Home nursing home,"West Hartford, Conn.",90,32,"Saint Mary Home nursing home, West Hartford, Conn.",-72.7420151,41.7620842
Chelsea Place Care Center rehabilitation facility,"Hartford, Conn.",88,32,"Chelsea Place Care Center rehabilitation facility, Hartford, Conn.",-72.6733723,41.7658043
Maple View Health and Rehabilitation Center,"Rocky Hill, Conn.",68,32,"Maple View Health and Rehabilitation Center, Rocky Hill, Conn.",-72.66557569999999,41.6572525
Beaumont Rehabilitation and Skilled Nursing,"Northborough, Mass.",62,32,"Beaumont Rehabilitation and Skilled Nursing, Northborough, Mass.",-71.6411997,42.3195556
ManorCare Health Services nursing home,"Hinsdale, Ill.",168,31,"ManorCare Health Services nursing home, Hinsdale, Ill.",-87.9370052,41.8008642
CareOne nursing home,"Holmdel, N.J.",119,31,"CareOne nursing home, Holmdel, N.J.",-74.18403219999999,40.3451095
Shippensburg Health Care Center,"Shippensburg, Pa.",118,31,"Shippensburg Health Care Center, Shippensburg, Pa.",-77.5202647,40.0506453
Lord Chamberlain nursing home facilities,"Stratford, Conn.",98,31,"Lord Chamberlain nursing home facilities, Stratford, Conn.",-73.1331651,41.18454149999999
Atria assisted living facility,"Cranford, N.J.",97,31,"Atria assisted living facility, Cranford, N.J.",-74.2995928,40.6584212
Sheriden Woods Health Care Center nursing home,"Bristol, Conn.",80,31,"Sheriden Woods Health Care Center nursing home, Bristol, Conn.",-72.9492703,41.67176480000001
Hewitt Health and Rehabilitation Center,"Shelton, Conn.",78,31,"Hewitt Health and Rehabilitation Center, Shelton, Conn.",-73.0931641,41.3164856
St. Barnabas Nursing Home,"Gibsonia, Pa.",76,31,"St. Barnabas Nursing Home, Gibsonia, Pa.",-79.9703318,40.6300567
Gwynedd Healthcare & Rehabilitation Center,"Lansdale, Pa.",76,31,"Gwynedd Healthcare & Rehabilitation Center, Lansdale, Pa.",-75.2837862,40.2414952
Beaumont Rehabilitation and Skilled Nursing,"Westborough, Mass.",60,31,"Beaumont Rehabilitation and Skilled Nursing, Westborough, Mass.",-71.61612939999999,42.2695216
Avantara rehabilitation center,"Long Grove, Ill.",213,30,"Avantara rehabilitation center, Long Grove, Ill.",-87.99785179999999,42.1783584
Berkshire Place Nursing and Rehabilitation Center,"Providence, R.I.",165,30,"Berkshire Place Nursing and Rehabilitation Center, Providence, R.I.",-71.4128343,41.8239891
Symphony at 87th Street nursing home,"Chicago, Ill.",165,30,"Symphony at 87th Street nursing home, Chicago, Ill.",-87.6297982,41.8781136
Morris View Healthcare Center nursing home,"Morristown, N.J.",158,30,"Morris View Healthcare Center nursing home, Morristown, N.J.",-74.4815438,40.79676670000001
Greenwood House assisted living facility,"Ewing, N.J.",156,30,"Greenwood House assisted living facility, Ewing, N.J.",-74.79091249999999,40.2599864
Maple Woods Manor skilled nursing facility,"Clio, Mich.",150,30,"Maple Woods Manor skilled nursing facility, Clio, Mich.",-83.73412739999999,43.1775256
Mountain View Care and Rehab Center,"Scranton, Pa.",144,30,"Mountain View Care and Rehab Center, Scranton, Pa.",-75.66241219999999,41.408969
Aston Park Health Care nursing home,"Asheville, N.C.",134,30,"Aston Park Health Care nursing home, Asheville, N.C.",-82.5514869,35.5950581
The Gardens for Memory Care at Easton,"Easton, Pa.",131,30,"The Gardens for Memory Care at Easton, Easton, Pa.",-75.2207323,40.688432
Brandywine Hall nursing home,"West Chester, Pa.",123,30,"Brandywine Hall nursing home, West Chester, Pa.",-75.6054882,39.9606643
Page Rehabilitation and Healthcare Center,"Fort Myers, Fla.",120,30,"Page Rehabilitation and Healthcare Center, Fort Myers, Fla.",-81.8723084,26.640628
CareOne at Wellington nursing home,"Hackensack, N.J.",118,30,"CareOne at Wellington nursing home, Hackensack, N.J.",-74.0434736,40.8859325
Center Home for Hispanic Elderly,"Chicago, Ill.",89,30,"Center Home for Hispanic Elderly, Chicago, Ill.",-87.6297982,41.8781136
Milford Health and Rehabilitation Center,"Milford, Conn.",85,30,"Milford Health and Rehabilitation Center, Milford, Conn.",-73.064036,41.2306979
Redwood Springs Healthcare Center,"Visalia, Calif.",189,29,"Redwood Springs Healthcare Center, Visalia, Calif.",-119.2920585,36.3302284
Water's Edge Healthcare and Rehabilitation Center,"Trenton, N.J.",176,29,"Water's Edge Healthcare and Rehabilitation Center, Trenton, N.J.",-74.759717,40.2205824
Highland Place Rehab and Nursing Center,"Shreveport, La.",175,29,"Highland Place Rehab and Nursing Center, Shreveport, La.",-93.7501789,32.5251516
St. Joseph's Healthcare & Rehab Center,"Cedar Grove, N.J.",144,29,"St. Joseph's Healthcare & Rehab Center, Cedar Grove, N.J.",-74.2290319,40.8517876
Pleasant View Nursing Home,"Mt. Airy, Md.",132,29,"Pleasant View Nursing Home, Mt. Airy, Md.",-77.154704,39.3762145
Bria nursing home,"Geneva, Ill.",124,29,"Bria nursing home, Geneva, Ill.",-88.3287896,41.8926437
Willow Springs Rehabilitation and Healthcare Center,"Brick Township, N.J.",107,29,"Willow Springs Rehabilitation and Healthcare Center, Brick Township, N.J.",-74.1371832,40.0578384
Beaumont Rehabilitation and Continuing Care,"Dearborn, Mich.",105,29,"Beaumont Rehabilitation and Continuing Care, Dearborn, Mich.",-83.17631449999999,42.3222599
Bride Brook Health and Rehabilitation Center,"Niantic, Conn.",100,29,"Bride Brook Health and Rehabilitation Center, Niantic, Conn.",-72.1931338,41.3253756
Complete Care at Shorrock Gardens nursing home,"Brick Township, N.J.",97,29,"Complete Care at Shorrock Gardens nursing home, Brick Township, N.J.",-74.1371832,40.0578384
Riverview Health and Rehab Center North,"Detroit, Mich.",58,29,"Riverview Health and Rehab Center North, Detroit, Mich.",-83.0457538,42.331427
Glastonbury Health Care Center,"Glastonbury, Conn.",51,29,"Glastonbury Health Care Center, Glastonbury, Conn.",-72.5450779,41.6861794
Hialeah Nursing and Rehabiliation Center,"Hialeah, Fla.",233,28,"Hialeah Nursing and Rehabiliation Center, Hialeah, Fla.",-80.2781057,25.8575963
ManorCare Health Services Oxford Valley nursing home,"Yardley, Pa.",157,28,"ManorCare Health Services Oxford Valley nursing home, Yardley, Pa.",-74.8459972,40.245664
Fairmont Care rehabilitation center,"Chicago, Ill.",149,28,"Fairmont Care rehabilitation center, Chicago, Ill.",-87.6297982,41.8781136
The Heights of Summerlin skilled nursing,"Las Vegas, Nev.",147,28,"The Heights of Summerlin skilled nursing, Las Vegas, Nev.",-115.1398296,36.1699412
Runnells Center for Rehabilitation and Healthcare,"Berkeley Heights, N.J.",139,28,"Runnells Center for Rehabilitation and Healthcare, Berkeley Heights, N.J.",-74.4310524,40.6808726
Llanfair House Care and Rehabilitation Center,"Wayne, N.J.",131,28,"Llanfair House Care and Rehabilitation Center, Wayne, N.J.",-74.2765441,40.92537249999999
AristaCare at Cedar Oaks rehabilitation facility,"South Plainfield, N.J.",130,28,"AristaCare at Cedar Oaks rehabilitation facility, South Plainfield, N.J.",-74.4115401,40.5792701
Advanced Subacute Rehabilitation Center,"Sewell, N.J.",120,28,"Advanced Subacute Rehabilitation Center, Sewell, N.J.",-75.1441926,39.7662167
Southeast Louisiana Veterans Home,"Reserve, La.",118,28,"Southeast Louisiana Veterans Home, Reserve, La.",-90.5517534,30.0538131
Generations at Regency nursing home,"Niles, Ill.",113,28,"Generations at Regency nursing home, Niles, Ill.",-87.80284019999999,42.0189191
Fresh River Healthcare nursing home,"East Windsor, Conn.",96,28,"Fresh River Healthcare nursing home, East Windsor, Conn.",-72.5578799,41.9161361
Lakeside Health & Wellness Suites nursing home,"Reno, Nev.",93,28,"Lakeside Health & Wellness Suites nursing home, Reno, Nev.",-119.8138027,39.5296329
Alaris Health nursing home,"Kearny, N.J.",91,28,"Alaris Health nursing home, Kearny, N.J.",-74.1454214,40.7684342
York Nursing and Rehabilitation Center,"Philadelphia, Pa.",89,28,"York Nursing and Rehabilitation Center, Philadelphia, Pa.",-75.1652215,39.9525839
Westminster Village senior living community,"Allentown, Pa.",88,28,"Westminster Village senior living community, Allentown, Pa.",-75.4714098,40.6022939
Mary Wade nursing home,"New Haven, Conn.",59,28,"Mary Wade nursing home, New Haven, Conn.",-72.9278835,41.308274
CareOne at Ridgewood Avenue nursing home,"Paramus, N.J.",191,27,"CareOne at Ridgewood Avenue nursing home, Paramus, N.J.",-74.0754189,40.9445428
Transitional Care Center Capitol City rehabilitation facility,"Washington, D.C.",185,27,"Transitional Care Center Capitol City rehabilitation facility, Washington, D.C.",-77.0368707,38.9071923
J.F.K. Hartwyck at Edison Estates nursing home,"Edison, N.J.",171,27,"J.F.K. Hartwyck at Edison Estates nursing home, Edison, N.J.",-74.4120953,40.5187154
Sterling Health Care and Rehabilitation Center,"Media, Pa.",156,27,"Sterling Health Care and Rehabilitation Center, Media, Pa.",-75.387693,39.9167783
Gateway Care Center nursing home,"Eatontown, N.J.",140,27,"Gateway Care Center nursing home, Eatontown, N.J.",-74.0509725,40.2962222
Millville Center nursing home,"Millville, N.J.",133,27,"Millville Center nursing home, Millville, N.J.",-75.0393438,39.4020596
White Oak nursing home,"Burlington, N.C.",132,27,"White Oak nursing home, Burlington, N.C.",-79.43779909999999,36.0956918
The Mosaic of Lakeshore rehabilitation facility,"Chicago, Ill.",130,27,"The Mosaic of Lakeshore rehabilitation facility, Chicago, Ill.",-87.6297982,41.8781136
Lakepointe Senior Care and Rehab Center,"Clinton Township, Mich.",121,27,"Lakepointe Senior Care and Rehab Center, Clinton Township, Mich.",-82.9195514,42.5868882
West Hills Health and Rehab Center,"Canoga Park, Calif.",118,27,"West Hills Health and Rehab Center, Canoga Park, Calif.",-118.6058609,34.208254
Hamilton Grove Healthcare and Rehabilitation Center,"Hamilton, N.J.",115,27,"Hamilton Grove Healthcare and Rehabilitation Center, Hamilton, N.J.",-74.6796651,40.2115109
Timber Ridge Health Center,"Wilkes Barre, Pa.",113,27,"Timber Ridge Health Center, Wilkes Barre, Pa.",-75.88130749999999,41.2459149
Beacon Brook Health Center,"Naugatuck, Conn.",107,27,"Beacon Brook Health Center, Naugatuck, Conn.",-73.0506972,41.485921
Wynhoven Health Care Center,"Marrero, La.",107,27,"Wynhoven Health Care Center, Marrero, La.",-90.1003506,29.8993723
Four Fountains nursing home,"Belleville, Ill.",104,27,"Four Fountains nursing home, Belleville, Ill.",-89.9839935,38.5200504
